epoch, train_loss_D, train_loss_G,train_Acc, val_Acc, cm00, cm11, cm22, cm33
0, 3.517320, 1.271486, 0.333333, 0.196154, 40.000000, 0.000000, 2.000000, 9.000000
1, 3.647775, 1.601732, 0.250000, 0.150000, 33.000000, 0.000000, 1.000000, 5.000000
2, 3.248579, 0.240380, 0.500000, 0.130769, 29.000000, 0.000000, 1.000000, 4.000000
3, 3.133131, 0.129024, 0.333333, 0.111538, 26.000000, 0.000000, 1.000000, 2.000000
4, 3.008734, 0.034386, 0.500000, 0.100000, 20.000000, 0.000000, 6.000000, 0.000000
5, 2.814079, 0.054968, 0.333333, 0.100000, 17.000000, 1.000000, 8.000000, 0.000000
6, 2.825475, 0.085765, 0.583333, 0.088462, 15.000000, 1.000000, 7.000000, 0.000000
7, 2.698733, 0.073484, 0.500000, 0.092308, 15.000000, 1.000000, 7.000000, 1.000000
8, 2.615357, 0.053605, 0.500000, 0.103846, 17.000000, 0.000000, 8.000000, 2.000000
9, 2.188924, 0.016184, 0.416667, 0.126923, 20.000000, 0.000000, 10.000000, 3.000000
